Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
128GB SSD RAMSTA (RLR4B2501SA07634),11509,Ssd & storage,3.000,2460.00,0.000,0.00,0.00,2460.00,0.00,2460.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07635),11791,Ssd & storage,1.000,1347.00,0.000,0.00,0.00,1347.00,0.00,1347.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07636),11524,Ssd & storage,3.000,2460.00,0.000,0.00,0.00,2460.00,0.00,2460.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07637),11781,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07638),11507,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07639),11519,Ssd & storage,3.000,2440.00,0.000,0.00,0.00,2440.00,0.00,2440.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07640),11520,Ssd & storage,4.000,3260.00,0.000,0.00,0.00,3260.00,0.00,3260.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07641),11515,Ssd & storage,3.000,2445.00,0.000,0.00,0.00,2445.00,0.00,2445.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07642),11517,Ssd & storage,2.000,1640.00,0.000,0.00,0.00,1640.00,0.00,1640.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07645),11496,Ssd & storage,4.000,3280.00,0.000,0.00,0.00,3280.00,0.00,3280.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07646),11493,Ssd & storage,4.000,3280.00,0.000,0.00,0.00,3280.00,0.00,3280.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07647),11276,Ssd & storage,2.000,1640.00,0.000,0.00,0.00,1640.00,0.00,1640.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07648),11497,Ssd & storage,3.000,2440.00,0.000,0.00,0.00,2440.00,0.00,2440.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07650),11782,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07668),11784,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA07669),11787,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA08218),11788,Ssd & storage,2.000,1640.00,0.000,0.00,0.00,1640.00,0.00,1640.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA09912),11847,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA09915),11855,Ssd & storage,1.000,1200.00,0.000,0.00,0.00,1200.00,0.00,1200.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA09920),11849,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA09922),11852,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2501SA09923),11853,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2503SA00201),11268,Ssd & storage,2.000,1640.00,0.000,0.00,0.00,1640.00,0.00,1640.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2503SA00202),11521,Ssd & storage,1.000,820.00,0.000,0.00,0.00,820.00,0.00,820.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2503SA00205),11526,Ssd & storage,1.000,920.00,0.000,0.00,0.00,920.00,0.00,920.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2503SA01593),10845,Ssd & storage,3.000,2460.00,0.000,0.00,0.00,2460.00,1650.00,810.00,32.93%,0.00
128GB SSD RAMSTA (RLR4B2503SA01594),11275,Ssd & storage,3.000,2460.00,0.000,0.00,0.00,2460.00,0.00,2460.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2503SA01596),11491,Ssd & storage,2.000,1740.00,0.000,0.00,0.00,1740.00,0.00,1740.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2503SA01597),11492,Ssd & storage,2.000,1740.00,0.000,0.00,0.00,1740.00,0.00,1740.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2503SA0599),11508,Ssd & storage,4.000,3280.00,0.000,0.00,0.00,3280.00,0.00,3280.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2503SA09021),11495,Ssd & storage,2.000,1640.00,0.000,0.00,0.00,1640.00,0.00,1640.00,100.00%,0.00
128GB SSD RAMSTA (RLR4B2503SA09050),11503,Ssd & storage,2.000,1640.00,0.000,0.00,0.00,1640.00,0.00,1640.00,100.00%,0.00
128gb ssd ramsta 2.5 (discount),10590,No category,295.000,227079.00,3.000,2007.00,1116.52,223955.48,174942.97,49012.51,21.88%,760.53
128gb ssd ramsta 2.5 (w/ OS),10118,No category,1.000,850.00,0.000,0.00,0.00,850.00,670.00,180.00,21.18%,0.00
128gb ssd ramsta 2.5 (ws),10461,No category,8.000,5480.00,1.000,820.00,0.00,4660.00,4470.00,190.00,4.08%,0.00
16 PORTS TP-LINK GIGABIT SWITCH HUB TL-SG1016D (22460J9001229),11490,Network Accessories,1.000,3500.00,0.000,0.00,0.00,3500.00,0.00,3500.00,100.00%,0.00
16 PORTS TP-LINK GIGABIT SWITCH HUB TL-SG1016D (22460J9001331),11489,Network Accessories,1.000,3501.00,0.000,0.00,0.00,3501.00,0.00,3501.00,100.00%,0.00
16GB (2X8GB) FKWOT DDR4 3200MHZ (DISCOUNT),10528,Ram,2.000,7600.00,0.000,0.00,0.00,7600.00,0.00,7600.00,100.00%,0.00
16GB (2X8GB) FKWOT DDR4 3200MHZ (WS),10578,Ram,1.000,4000.00,0.000,0.00,0.00,4000.00,0.00,4000.00,100.00%,0.00
